station_id,station_name,line_id,order
hakata,博多,kagoshima,0
shingu_chuo,新宮中央,kagoshima,-7
mojiko,門司港,kagoshima,-31
komorie,小森江,kagoshima,-30
moji,門司,kagoshima,-29
kokura,小倉,kagoshima,-28
nisi_kokura,西小倉,kagoshima,-27
kyusyukou_daimae,九州工大前,kagoshima,-26
tobata,戸畑,kagoshima,-25
edamitsu,枝光,kagoshima,-24
spaceworld,スペースワールド,kagoshima,-23
yahata,八幡,kagoshima,-22
kurosaki,黒崎,kagoshima,-21
jinnoharu,陣原,kagoshima,-20
orio,折尾,kagoshima,-19
mizumaki,水巻,kagoshima,-18
ongagawa,遠賀川,kagoshima,-17
ebitsu,海老津,kagoshima,-16
kyoiku_daimae,教育大前,kagoshima,-15
akama,赤間,kagoshima,-14
togo,東郷,kagoshima,-13
higashi_fukuma,東福間,kagoshima,-12
fukuma,福間,kagoshima,-11
chidori,千鳥,kagoshima,-10
koga,古賀,kagoshima,-9
shishibu,ししぶ,kagoshima,-8
shingu_chuo,新宮中央,kagoshima,-7
fukko_daimae,福工大前,kagoshima,-6
kyusan_daimae,九産大前,kagoshima,-5
kashii,香椎,kagoshima,-4
chihaya,千早,kagoshima,-3
hakozaki,箱崎,kagoshima,-2
yoshizuka,吉塚,kagoshima,-1
hakata,博多,kagoshima,0
takeshita,竹下,kagoshima,1
sasabaru,笹原,kagoshima,2
minami_fukuoka,南福岡,kagoshima,3
kasuga,春日,kagoshima,4
onojo,大野城,kagoshima,5
mizuki,水城,kagoshima,6
tofuro_minami,都府楼南,kagoshima,7
futsukaichi,二日市,kagoshima,8
tempaizan,天拝山,kagoshima,9
haruda,原田,kagoshima,10
keyakidai,けやき台,kagoshima,11
kiyama,基山,kagoshima,12
yayoigaoka,弥生が丘,kagoshima,13
yashiro,田代,kagoshima,14
tosu,鳥栖,kagoshima,15
hizenasahi,肥前旭,kagoshima,16
kurume,久留米,kagoshima,17
araki,荒木,kagoshima,18
nishimuta,西牟田,kagoshima,19
hainuzuka,羽犬塚,kagoshima,20
chikugo_funagoya,筑後船小屋,kagoshima,21
setaka,瀬高,kagoshima,22
minami_setaka,南瀬高,kagoshima,23
wataze,渡瀬,kagoshima,24
yoshino,吉野,kagoshima,25
ginsui,銀水,kagoshima,26
omuta,大牟田,kagoshima,27
arao,荒尾,kagoshima,28
