train_id,line_id,train_type,destination,direction
1220M,kagoshima,区間快速,博多,上り
1222M,kagoshima,区間快速,博多,上り
3120M,kagoshima,区間快速,小倉,上り
3122M,kagoshima,区間快速,小倉,上り
3124M,kagoshima,区間快速,門司港,上り
3126M,kagoshima,区間快速,門司港,上り
4120M,kagoshima,区間快速,門司港,上り
4124M,kagoshima,区間快速,門司港,上り
4130M,kagoshima,区間快速,小倉,上り
4132M,kagoshima,区間快速,門司港,上り
4136M,kagoshima,区間快速,門司港,上り
4140M,kagoshima,区間快速,門司港,上り
4144M,kagoshima,区間快速,門司港,上り
4148M,kagoshima,区間快速,門司港,上り
4150M,kagoshima,区間快速,門司港,上り
4154M,kagoshima,区間快速,小倉,上り
4156M,kagoshima,区間快速,小倉,上り
3220M,kagoshima,快速,小倉,上り
3222M,kagoshima,快速,門司港,上り
4220M,kagoshima,快速,門司港,上り
4234M,kagoshima,快速,小倉,上り
4236M,kagoshima,快速,門司港,上り
120M,kagoshima,普通,門司港,上り
122M,kagoshima,普通,小倉,上り
124M,kagoshima,普通,小倉,上り
126M,kagoshima,普通,小倉,上り
128M,kagoshima,普通,門司港,上り
130M,kagoshima,普通,小倉,上り
132M,kagoshima,普通,門司港,上り
134M,kagoshima,普通,門司港,上り
136M,kagoshima,普通,門司港,上り
138M,kagoshima,普通,小倉,上り
140M,kagoshima,普通,門司港,上り
2120M,kagoshima,普通,海老津,上り
2122M,kagoshima,普通,海老津,上り
2124M,kagoshima,普通,福間,上り
2126M,kagoshima,普通,福間,上り
2128M,kagoshima,普通,福間,上り
2130M,kagoshima,普通,折尾,上り
2132M,kagoshima,普通,福間,上り
2134M,kagoshima,普通,折尾,上り
2136M,kagoshima,普通,福間,上り
2138M,kagoshima,普通,折尾,上り
2140M,kagoshima,普通,博多,上り
2142M,kagoshima,普通,福間,上り
2144M,kagoshima,普通,折尾,上り
2146M,kagoshima,普通,折尾,上り
2148M,kagoshima,普通,福間,上り
2150M,kagoshima,普通,折尾,上り
