station_id,station_name,line_id,station_order,jr_code,source_url
hakata,博多,kagoshima,0,28283,https://www.jrkyushu-timetable.jp/cgi-bin/jr-k_time/tt_dep.cgi?c=28283
shingu_chuo,新宮中央,kagoshima,-7,8262,https://www.jrkyushu-timetable.jp/cgi-bin/jr-k_time/tt_dep.cgi?c=8262
mojiko,門司港,kagoshima,-31,28345,https://www.jrkyushu-timetable.jp/cgi-bin/jr-k_time/tt_dep.cgi?c=28345
komorie,小森江,kagoshima,-30,28157,https://www.jrkyushu-timetable.jp/cgi-bin/jr-k_time/tt_dep.cgi?c=28157
moji,門司,kagoshima,-29,28344,https://www.jrkyushu-timetable.jp/cgi-bin/jr-k_time/tt_dep.cgi?c=28344
kokura,小倉,kagoshima,-28,28155,https://www.jrkyushu-timetable.jp/cgi-bin/jr-k_time/tt_dep.cgi?c=28155
nishi_kokura,西小倉,kagoshima,-27,28260,https://www.jrkyushu-timetable.jp/cgi-bin/jr-k_time/tt_dep.cgi?c=28260
kyusyukou_daimae,九州工大前,kagoshima,-26,28129,https://www.jrkyushu-timetable.jp/cgi-bin/jr-k_time/tt_dep.cgi?c=28129
tobata,戸畑,kagoshima,-25,28246,https://www.jrkyushu-timetable.jp/cgi-bin/jr-k_time/tt_dep.cgi?c=28246
edamitsu,枝光,kagoshima,-24,28082,https://www.jrkyushu-timetable.jp/cgi-bin/jr-k_time/tt_dep.cgi?c=28082
spaceworld,スペースワールド,kagoshima,-23,29268,https://www.jrkyushu-timetable.jp/cgi-bin/jr-k_time/tt_dep.cgi?c=29268
yahata,八幡,kagoshima,-22,28351,https://www.jrkyushu-timetable.jp/cgi-bin/jr-k_time/tt_dep.cgi?c=28351
kurosaki,黒崎,kagoshima,-21,28146,https://www.jrkyushu-timetable.jp/cgi-bin/jr-k_time/tt_dep.cgi?c=28146
jinnoharu,陣原,kagoshima,-20,29328,https://www.jrkyushu-timetable.jp/cgi-bin/jr-k_time/tt_dep.cgi?c=29328
orio,折尾,kagoshima,-19,28098,https://www.jrkyushu-timetable.jp/cgi-bin/jr-k_time/tt_dep.cgi?c=28098
mizumaki,水巻,kagoshima,-18,28331,https://www.jrkyushu-timetable.jp/cgi-bin/jr-k_time/tt_dep.cgi?c=28331
ongagawa,遠賀川,kagoshima,-17,28100,https://www.jrkyushu-timetable.jp/cgi-bin/jr-k_time/tt_dep.cgi?c=28100
